,name,right_ascension,declination,apparent_magnitude,distance (ly),link,parent_constellation
1451,5 Cancri,08h 01m 30.29s,+16° 27′ 19.2″,5.99,472,/wiki/5_Cancri,Cancer
1452,Unnamed Star,08h 12m 59.74s,+16° 30′ 51.7″,6.03,528,,Cancer
1453,Unnamed Star,08h 34m 13.35s,+08° 27′ 08.5″,6.04,189,,Cancer
1454,79 Cancri,09h 10m 20.86s,+21° 59′ 47.1″,6.04,420,/wiki/79_Cancri,Cancer
1455,RS Cnc,09h 10m 38.81s,+30° 57′ 47.6″,6.04,397,/wiki/RS_Cnc,Cancer
1456,Unnamed Star,07h 58m 31.48s,+16° 31′ 07.3″,6.05,1399,,Cancer
1457,Unnamed Star,07h 59m 35.07s,+13° 14′ 31.9″,6.05,301,,Cancer
1458,28 Cancri,08h 28m 36.80s,+24° 08′ 42.2″,6.05,271,/wiki/28_Cancri,Cancer
1459,67 Cancri,09h 01m 48.88s,+27° 54′ 10.0″,6.07,191,/wiki/67_Cancri,Cancer
1460,Unnamed Star,08h 11m 16.60s,+09° 49′ 16.6″,6.08,872,,Cancer
1461,21 Cancri,08h 23m 55.21s,+10° 37′ 55.6″,6.11,1113,/wiki/21_Cancri,Cancer
1462,25 Cancri,08h 25m 49.99s,+17° 02′ 47.9″,6.11,147,/wiki/25_Cancri,Cancer
1463,46 Cancri,08h 45m 21.42s,+30° 41′ 51.9″,6.12,477,/wiki/46_Cancri,Cancer
1464,Phi2 Cancri,08h 26m 47.08s,+26° 56′ 07.7″,6.14,276,/wiki/Phi2_Cancri,Cancer
1465,Unnamed Star,09h 21m 27.17s,+32° 54′ 07.9″,6.16,317,,Cancer
1466,Unnamed Star,08h 57m 08.30s,+17° 08′ 37.8″,6.17,384,,Cancer
1467,Phi2 Cancri,08h 26m 47.00s,+26° 56′ 07.0″,6.19,276,/wiki/Phi2_Cancri,Cancer
1468,Unnamed Star,08h 57m 42.03s,+09° 23′ 16.0″,6.19,956,,Cancer
1469,Unnamed Star,08h 04m 45.32s,+18° 50′ 31.4″,6.21,299,,Cancer
1470,Unnamed Star,08h 05m 37.05s,+27° 31′ 47.1″,6.21,934,,Cancer
1471,Unnamed Star,08h 40m 18.31s,+31° 56′ 31.1″,6.21,350,,Cancer
1472,Unnamed Star,08h 10m 58.90s,+14° 37′ 46.3″,6.22,581,,Cancer
1473,12 Cancri,08h 08m 42.44s,+13° 38′ 27.4″,6.25,278,/wiki/12_Cancri,Cancer
1474,53 Cancri,08h 52m 28.60s,+28° 15′ 33.0″,6.25,886,/wiki/53_Cancri,Cancer
1475,61 Cancri,08h 57m 58.63s,+30° 14′ 01.5″,6.25,164,/wiki/61_Cancri,Cancer
1476,Unnamed Star,08h 33m 45.06s,+13° 15′ 26.7″,6.26,306,,Cancer
1477,Unnamed Star,08h 17m 31.66s,+08° 51′ 58.8″,6.28,1062,,Cancer
1478,Epsilon Cancri,08h 40m 27.03s,+19° 32′ 41.4″,6.29,548,/wiki/Epsilon_Cancri,Cancer
1479,Unnamed Star,08h 00m 48.10s,+19° 48′ 58.4″,6.3,345,,Cancer
1480,Unnamed Star,08h 59m 10.76s,+18° 08′ 06.1″,6.3,697,,Cancer
1481,4 Cancri,08h 01m 43.77s,+25° 05′ 22.0″,6.32,598,/wiki/4_Cancri,Cancer
1482,Unnamed Star,08h 36m 07.71s,+15° 18′ 49.3″,6.33,267,,Cancer
1483,Unnamed Star,08h 01m 00.79s,+23° 34′ 59.4″,6.34,276,,Cancer
1484,Upsilon2 Cancri,08h 33m 00.14s,+24° 05′ 05.7″,6.35,421,/wiki/Upsilon2_Cancri,Cancer
1485,54 Cancri,08h 51m 01.53s,+15° 21′ 01.7″,6.36,130,/wiki/54_Cancri,Cancer
1486,Unnamed Star,08h 14m 21.01s,+13° 02′ 54.0″,6.39,776,,Cancer
1487,39 Cancri,08h 40m 06.44s,+20° 00′ 28.1″,6.39,587,/wiki/39_Cancri,Cancer
1488,Unnamed Star,09h 07m 27.01s,+22° 58′ 51.1″,6.39,192,,Cancer
1489,X Cancri,08h 55m 22.88s,+17° 13′ 52.5″,6.4,3622,/wiki/X_Cancri,Cancer
1490,Unnamed Star,09h 17m 51.36s,+11° 30′ 04.1″,6.4,542,,Cancer
1491,Unnamed Star,08h 50m 45.13s,+18° 49′ 56.1″,6.41,762,,Cancer
1492,Unnamed Star,08h 18m 14.43s,+15° 40′ 40.6″,6.42,485,,Cancer
1493,Unnamed Star,08h 40m 22.11s,+19° 40′ 11.9″,6.42,756,,Cancer
1494,Psi1 Cancri,08h 10m 13.12s,+25° 50′ 40.4″,6.44,1032,/wiki/Psi1_Cancri,Cancer
1495,Unnamed Star,08h 39m 24.57s,+08° 01′ 03.6″,6.46,551,,Cancer
1496,Unnamed Star,09h 04m 55.12s,+32° 22′ 37.2″,6.46,259,,Cancer
1497,Unnamed Star,08h 09m 35.19s,+29° 05′ 35.1″,6.47,3928,,Cancer
1498,Unnamed Star,08h 14m 11.14s,+17° 40′ 33.3″,6.47,329,,Cancer
1499,Unnamed Star,09h 08m 04.21s,+32° 32′ 25.6″,6.47,349,,Cancer
1500,34 Cancri,08h 32m 39.87s,+10° 03′ 57.7″,6.48,541,/wiki/34_Cancri,Cancer
1501,Unnamed Star,09h 09m 46.45s,+11° 33′ 52.3″,6.48,123,,Cancer
1502,Unnamed Star,09h 13m 37.27s,+21° 16′ 59.6″,6.48,496,,Cancer
1503,Unnamed Star,08h 59m 26.89s,+13° 04′ 27.9″,6.49,1294,,Cancer
1504,81 Cancri,09h 12m 17.87s,+14° 59′ 43.6″,6.49,67,/wiki/81_Cancri,Cancer
1505,Unnamed Star,08h 31m 41.31s,+18° 59′ 16.0″,6.5,1025,,Cancer
1506,24 Cancri,08h 26m 39.82s,+24° 32′ 03.7″,6.51,248,/wiki/24_Cancri,Cancer
1507,37 Cancri,08h 38m 05.19s,+09° 34′ 28.7″,6.54,373,/wiki/37_Cancri,Cancer
1508,35 Cancri,08h 35m 19.47s,+19° 35′ 24.3″,6.55,585,/wiki/35_Cancri,Cancer
1509,Iota Cancri,08h 46m 40.00s,+28° 45′ 54.6″,6.58,188,/wiki/Iota_Cancri,Cancer
1510,40 Cancri,08h 40m 11.47s,+19° 58′ 16.2″,6.61,570,/wiki/40_Cancri,Cancer
1511,83 Cancri,09h 18m 58.91s,+17° 42′ 20.4″,6.61,128,/wiki/83_Cancri,Cancer
1512,38 Cancri,08h 39m 42.68s,+19° 46′ 42.5″,6.66,531,/wiki/38_Cancri,Cancer
1513,70 Cancri,09h 04m 09.87s,+27° 53′ 53.9″,6.67,605,/wiki/70_Cancri,Cancer
1514,Unnamed Star,08h 39m 31.87s,+32° 30′ 56.2″,6.69,1220,,Cancer
1515,Unnamed Star,08h 39m 56.35s,+32° 43′ 38.2″,6.71,528,,Cancer
1516,Unnamed Star,08h 40m 56.30s,+19° 34′ 49.2″,6.76,556,,Cancer
1517,42 Cancri,08h 40m 43.23s,+19° 43′ 09.6″,6.83,506,/wiki/42_Cancri,Cancer
1518,7 Cancri,08h 03m 50.48s,+22° 04′ 14.9″,6.84,668,/wiki/7_Cancri,Cancer
1519,Unnamed Star,09h 11m 56.93s,+18° 02′ 39.0″,6.87,470,#cite_note-2,Cancer
1520,Unnamed Star,08h 08m 49.60s,+27° 28′ 49.5″,6.88,944,,Cancer
1521,78 Cancri,09h 09m 02.31s,+17° 28′ 10.7″,7.18,706,/wiki/78_Cancri,Cancer
1522,Unnamed Star,08h 40m 52.13s,+09° 49′ 27.1″,7.18,509,,Cancer
1523,Unnamed Star,09h 17m 53.46s,+28° 33′ 37.9″,7.21,56.28,/wiki/BY_Draconis_variable,Cancer
1524,Unnamed Star,08h 51m 10.83s,+15° 59′ 57.8″,7.38,607,,Cancer
1525,Unnamed Star,09h 01m 43.66s,+17° 04′ 51.8″,7.38,620,#cite_note-4,Cancer
1526,Unnamed Star,08h 21m 42.84s,+17° 17′ 07.2″,7.5,,/wiki/Mira_variable,Cancer
1527,Unnamed Star,08h 56m 40.15s,+19° 50′ 57.0″,7.6,,,Cancer
1528,Unnamed Star,08h 39m 44.67s,+19° 16′ 30.8″,7.68,577,,Cancer
1529,Unnamed Star,08h 40m 39.24s,+19° 13′ 41.8″,7.8,577,,Cancer
1530,Unnamed Star,08h 33m 36.6s,+13° 33′ 03″,7.8,405,,Cancer
1531,24 Cancri,08h 26m 40.10s,+24° 32′ 07.0″,7.81,,/wiki/24_Cancri,Cancer
1532,Unnamed Star,08h 42m 10.81s,+18° 56′ 03.7″,7.91,451,,Cancer
1533,Unnamed Star,08h 42m 06.50s,+19° 24′ 40.5″,7.96,577,,Cancer
1590,Cor Caroli,12h 56m 01.84s,+38° 19′ 05.7″,2.89,114,/wiki/Cor_Caroli,Canes Venatici
1591,Beta Canum Venaticorum,12h 33m 45.09s,+41° 21′ 24.4″,4.24,27,/wiki/Beta_Canum_Venaticorum,Canes Venatici
1592,24 Canum Venaticorum,13h 34m 27.37s,+49° 00′ 57.3″,4.68,190,/wiki/24_Canum_Venaticorum,Canes Venatici
1593,20 Canum Venaticorum,13h 17m 32.64s,+40° 34′ 21.2″,4.72,286,/wiki/20_Canum_Venaticorum,Canes Venatici
1594,AW Canum Venaticorum,13h 51m 47.49s,+34° 26′ 39.5″,4.76,604,/wiki/AW_Canum_Venaticorum,Canes Venatici
1595,5 Canum Venaticorum,12h 24m 01.48s,+51° 33′ 44.0″,4.77,393,/wiki/5_Canum_Venaticorum,Canes Venatici
1596,25 Canum Venaticorum,13h 37m 27.70s,+36° 17′ 41.4″,4.82,192,/wiki/25_Canum_Venaticorum,Canes Venatici
1597,HR 5110,13h 34m 47.75s,+37° 10′ 56.8″,4.91,145,/wiki/HR_5110,Canes Venatici
1598,HD 115004,13h 13m 42.98s,+40° 09′ 10.3″,4.94,522,/wiki/HD_115004,Canes Venatici
1599,6 Canum Venaticorum,12h 25m 51.00s,+39° 01′ 07.3″,5.01,227,/wiki/6_Canum_Venaticorum,Canes Venatici
1600,21 Canum Venaticorum,13h 18m 14.54s,+49° 40′ 55.3″,5.13,275,/wiki/21_Canum_Venaticorum,Canes Venatici
1601,14 Canum Venaticorum (page does not exist),13h 05m 44.46s,+35° 47′ 55.9″,5.2,282,/w/index.php?title=14_Canum_Venaticorum&action=edit&redlink=1,Canes Venatici
1602,3 Canum Venaticorum (page does not exist),12h 19m 48.72s,+48° 59′ 02.9″,5.28,517,/w/index.php?title=3_Canum_Venaticorum&action=edit&redlink=1,Canes Venatici
1603,HD 109317 (page does not exist),12h 33m 38.90s,+33° 14′ 51.6″,5.42,266,/w/index.php?title=HD_109317&action=edit&redlink=1,Canes Venatici
1604,La Superba,12h 45m 07.83s,+45° 26′ 24.8″,5.42,710,/wiki/La_Superba,Canes Venatici
1605,HD 120164 (page does not exist),13h 46m 59.87s,+38° 32′ 33.9″,5.51,304,/w/index.php?title=HD_120164&action=edit&redlink=1,Canes Venatici
1606,23 Canum Venaticorum (page does not exist),13h 20m 19.00s,+40° 09′ 02.0″,5.6,655,/w/index.php?title=23_Canum_Venaticorum&action=edit&redlink=1,Canes Venatici
1607,Alpha1 Canum Venaticorum,12h 56m 00.60s,+38° 18′ 52.9″,5.61,120.2,/wiki/Alpha1_Canum_Venaticorum,Canes Venatici
1608,HD 120420 (page does not exist),13h 48m 38.74s,+31° 11′ 24.4″,5.61,311,/w/index.php?title=HD_120420&action=edit&redlink=1,Canes Venatici
1609,HD 113847 (page does not exist),13h 05m 52.28s,+45° 16′ 06.6″,5.64,483,/w/index.php?title=HD_113847&action=edit&redlink=1,Canes Venatici
1610,2 Canum Venaticorum (page does not exist),12h 16m 07.54s,+40° 39′ 36.9″,5.69,834,/w/index.php?title=2_Canum_Venaticorum&action=edit&redlink=1,Canes Venatici
1611,TU Canum Venaticorum (page does not exist),12h 54m 56.54s,+47° 11′ 48.3″,5.75,704,/w/index.php?title=TU_Canum_Venaticorum&action=edit&redlink=1,Canes Venatici
1612,19 Canum Venaticorum,13h 15m 32.05s,+40° 51′ 18.6″,5.77,245,/wiki/19_Canum_Venaticorum,Canes Venatici
1613,HD 115723 (page does not exist),13h 18m 27.71s,+34° 05′ 53.9″,5.81,504,/w/index.php?title=HD_115723&action=edit&redlink=1,Canes Venatici
1614,HD 111604 (page does not exist),12h 50m 10.81s,+37° 31′ 00.8″,5.87,387,/w/index.php?title=HD_111604&action=edit&redlink=1,Canes Venatici
1615,HD 116957 (page does not exist),13h 26m 16.58s,+46° 01′ 41.2″,5.88,357,/w/index.php?title=HD_116957&action=edit&redlink=1,Canes Venatici
1616,HD 120047 (page does not exist),13h 46m 13.63s,+41° 05′ 19.9″,5.88,167,/w/index.php?title=HD_120047&action=edit&redlink=1,Canes Venatici
1617,HD 120819 (page does not exist),13h 51m 09.21s,+34° 39′ 52.3″,5.89,676,/w/index.php?title=HD_120819&action=edit&redlink=1,Canes Venatici
1618,17 Canum Venaticorum (page does not exist),13h 10m 03.27s,+38° 29′ 55.9″,5.91,202,/w/index.php?title=17_Canum_Venaticorum&action=edit&redlink=1,Canes Venatici
1619,HD 121164 (page does not exist),13h 53m 10.36s,+28° 38′ 53.0″,5.91,211,/w/index.php?title=HD_121164&action=edit&redlink=1,Canes Venatici
1620,HD 120048 (page does not exist),13h 46m 19.10s,+38° 30′ 13.2″,5.92,403,/w/index.php?title=HD_120048&action=edit&redlink=1,Canes Venatici
1621,10 Canum Venaticorum,12h 44m 59.68s,+39° 16′ 42.9″,5.95,57,/wiki/10_Canum_Venaticorum,Canes Venatici
1622,HD 119458 (page does not exist),13h 42m 43.42s,+34° 59′ 20.4″,5.98,486,/w/index.php?title=HD_119458&action=edit&redlink=1,Canes Venatici
1623,HD 114357 (page does not exist),13h 09m 38.72s,+37° 25′ 23.3″,6.01,299,/w/index.php?title=HD_114357&action=edit&redlink=1,Canes Venatici
1624,HD 115810 (page does not exist),13h 19m 04.27s,+35° 07′ 40.6″,6.01,213,/w/index.php?title=HD_115810&action=edit&redlink=1,Canes Venatici
1625,4 Canum Venaticorum,12h 23m 47.08s,+42° 32′ 33.8″,6.03,334,/wiki/4_Canum_Venaticorum,Canes Venatici
1626,HD 117710 (page does not exist),13h 31m 15.84s,+42° 06′ 21.9″,6.07,263,/w/index.php?title=HD_117710&action=edit&redlink=1,Canes Venatici
1627,CL Canum Venaticorum (page does not exist),13h 23m 53.92s,+37° 02′ 02.2″,6.1,1207,/w/index.php?title=CL_Canum_Venaticorum&action=edit&redlink=1,Canes Venatici
1628,HD 112570 (page does not exist),12h 57m 07.80s,+46° 10′ 36.9″,6.12,344,/w/index.php?title=HD_112570&action=edit&redlink=1,Canes Venatici
1629,7 Canum Venaticorum (page does not exist),12h 30m 03.10s,+51° 32′ 08.1″,6.21,147,/w/index.php?title=7_Canum_Venaticorum&action=edit&redlink=1,Canes Venatici
1630,HD 119035 (page does not exist),13h 40m 15.63s,+31° 00′ 42.5″,6.21,540,/w/index.php?title=HD_119035&action=edit&redlink=1,Canes Venatici
1631,HD 119081 (page does not exist),13h 40m 39.12s,+28° 03′ 54.5″,6.22,382,/w/index.php?title=HD_119081&action=edit&redlink=1,Canes Venatici
1632,HD 109345 (page does not exist),12h 33m 47.41s,+33° 23′ 04.9″,6.24,374,/w/index.php?title=HD_109345&action=edit&redlink=1,Canes Venatici
1633,11 Canum Venaticorum (page does not exist),12h 48m 41.86s,+48° 28′ 00.5″,6.25,463,/w/index.php?title=11_Canum_Venaticorum&action=edit&redlink=1,Canes Venatici
1634,HD 112171 (page does not exist),12h 54m 13.15s,+33° 32′ 03.9″,6.25,243,/w/index.php?title=HD_112171&action=edit&redlink=1,Canes Venatici
1635,15 Canum Venaticorum (page does not exist),13h 09m 42.04s,+38° 32′ 01.9″,6.25,1144,/w/index.php?title=15_Canum_Venaticorum&action=edit&redlink=1,Canes Venatici
1636,HD 122675 (page does not exist),14h 02m 12.17s,+45° 45′ 13.1″,6.28,544,/w/index.php?title=HD_122675&action=edit&redlink=1,Canes Venatici
1637,HD 119445,13h 42m 28.87s,+41° 40′ 27.3″,6.3,942,/wiki/HD_119445,Canes Venatici
1638,HD 121682 (page does not exist),13h 56m 10.54s,+32° 01′ 56.9″,6.31,236,/w/index.php?title=HD_121682&action=edit&redlink=1,Canes Venatici
1639,HD 107610 (page does not exist),12h 21m 56.30s,+47° 10′ 56.1″,6.33,307,/w/index.php?title=HD_107610&action=edit&redlink=1,Canes Venatici
1640,HD 110834 (page does not exist),12h 44m 27.12s,+44° 06′ 10.8″,6.34,298,/w/index.php?title=HD_110834&action=edit&redlink=1,Canes Venatici
1641,HD 116303 (page does not exist),13h 22m 03.97s,+43° 54′ 12.0″,6.34,458,/w/index.php?title=HD_116303&action=edit&redlink=1,Canes Venatici
1642,9 Canum Venaticorum (page does not exist),12h 38m 46.30s,+40° 52′ 28.9″,6.35,213,/w/index.php?title=9_Canum_Venaticorum&action=edit&redlink=1,Canes Venatici
1643,HD 118156 (page does not exist),13h 34m 21.85s,+38° 47′ 21.2″,6.37,223,/w/index.php?title=HD_118156&action=edit&redlink=1,Canes Venatici
1644,HD 110066 (page does not exist),12h 39m 16.85s,+35° 57′ 07.1″,6.39,505,/w/index.php?title=HD_110066&action=edit&redlink=1,Canes Venatici
1645,HD 117361 (page does not exist),13h 28m 45.80s,+50° 43′ 07.5″,6.42,253,/w/index.php?title=HD_117361&action=edit&redlink=1,Canes Venatici
1646,HD 120600 (page does not exist),13h 49m 44.98s,+36° 37′ 58.0″,6.43,212,/w/index.php?title=HD_120600&action=edit&redlink=1,Canes Venatici
1647,HD 121197 (page does not exist),13h 53m 08.44s,+40° 20′ 16.8″,6.48,1370,/w/index.php?title=HD_121197&action=edit&redlink=1,Canes Venatici
1648,HD 117261 (page does not exist),13h 28m 26.23s,+40° 43′ 47.2″,6.49,432,/w/index.php?title=HD_117261&action=edit&redlink=1,Canes Venatici
1649,HD 111572 (page does not exist),12h 49m 38.05s,+48° 44′ 24.2″,6.5,497,/w/index.php?title=HD_111572&action=edit&redlink=1,Canes Venatici
1650,HD 114975 (page does not exist),13h 13m 35.94s,+36° 53′ 15.3″,6.5,1347,/w/index.php?title=HD_114975&action=edit&redlink=1,Canes Venatici
1651,V Canum Venaticorum (page does not exist),13h 19m 27.77s,+45° 31′ 37.7″,6.74,2260,/w/index.php?title=V_Canum_Venaticorum&action=edit&redlink=1,Canes Venatici
1652,HD 108100 (page does not exist),12h 24m 13.93s,+42° 51′ 17.0″,7.15,267.4,/w/index.php?title=HD_108100&action=edit&redlink=1,Canes Venatici
1653,BM Canum Venaticorum (page does not exist),13h 21m 32.26s,+38° 52′ 49.5″,7.21,368,/w/index.php?title=BM_Canum_Venaticorum&action=edit&redlink=1,Canes Venatici
1654,R Canum Venaticorum,13h 48m 57.20s,+39° 32′ 34.0″,7.4,3130,/wiki/R_Canum_Venaticorum,Canes Venatici
1655,HD 109995 (page does not exist),12h 38m 47.60s,+39° 18′ 31.6″,7.64,891,/w/index.php?title=HD_109995&action=edit&redlink=1,Canes Venatici
1675,Sirius,06h 45m 09.25s,-16° 42′ 47.3″,-1.46,8.6,/wiki/Sirius,Canis Major
1676,Epsilon Canis Majoris,06h 58m 37.55s,-28° 58′ 19.5″,1.5,431,/wiki/Epsilon_Canis_Majoris,Canis Major
1677,Delta Canis Majoris,07h 08m 23.49s,-26° 23′ 35.5″,1.83,1791,/wiki/Delta_Canis_Majoris,Canis Major
1678,Beta Canis Majoris,06h 22m 41.99s,-17° 57′ 21.3″,1.98,499,/wiki/Beta_Canis_Majoris,Canis Major
1679,Eta Canis Majoris,07h 24m 05.71s,-29° 18′ 11.2″,2.45,3196,/wiki/Eta_Canis_Majoris,Canis Major
1680,Zeta Canis Majoris,06h 20m 18.79s,-30° 03′ 48.2″,3.02,336,/wiki/Zeta_Canis_Majoris,Canis Major
1681,Omicron2 Canis Majoris,07h 03m 01.47s,-23° 49′ 59.9″,3.02,2567,/wiki/Omicron2_Canis_Majoris,Canis Major
1682,Sigma Canis Majoris,07h 01m 43.15s,-27° 56′ 05.4″,3.49,1216,/wiki/Sigma_Canis_Majoris,Canis Major
1683,Kappa Canis Majoris,06h 49m 50.47s,-32° 30′ 30.6″,3.5,789,/wiki/Kappa_Canis_Majoris,Canis Major
1684,Omicron1 Canis Majoris,06h 54m 07.95s,-24° 11′ 03.2″,3.89,1976,/wiki/Omicron1_Canis_Majoris,Canis Major
1685,Nu2 Canis Majoris,06h 36m 41.00s,-19° 15′ 20.6″,3.95,65,/wiki/Nu2_Canis_Majoris,Canis Major
1686,Omega Canis Majoris,07h 14m 48.66s,-26° 46′ 21.7″,4.01,924,/wiki/Omega_Canis_Majoris,Canis Major
1687,Theta Canis Majoris,06h 54m 11.48s,-12° 02′ 18.9″,4.08,252,/wiki/Theta_Canis_Majoris,Canis Major
1688,Gamma Canis Majoris,07h 03m 45.49s,-15° 37′ 59.7″,4.12,402,/wiki/Gamma_Canis_Majoris,Canis Major
1689,Xi1 Canis Majoris,06h 31m 51.37s,-23° 25′ 06.4″,4.34,2050,/wiki/Xi1_Canis_Majoris,Canis Major
1690,Iota Canis Majoris,06h 56m 08.23s,-17° 03′ 15.3″,4.36,3075,/wiki/Iota_Canis_Majoris,Canis Major
1691,Tau Canis Majoris,07h 18m 42.49s,-24° 57′ 15.8″,4.37,3196,/wiki/Tau_Canis_Majoris,Canis Major
1692,Nu3 Canis Majoris,06h 37m 53.43s,-18° 14′ 14.8″,4.42,464,/wiki/Nu3_Canis_Majoris,Canis Major
1693,27 Canis Majoris,07h 14m 15.22s,-26° 21′ 09.1″,4.42,1575,/wiki/27_Canis_Majoris,Canis Major
1694,Lambda Canis Majoris,06h 28m 10.22s,-32° 34′ 48.5″,4.47,406,/wiki/Lambda_Canis_Majoris,Canis Major
1695,Xi2 Canis Majoris,06h 35m 03.38s,-22° 57′ 53.4″,4.54,412,/wiki/Xi2_Canis_Majoris,Canis Major
1696,Pi Canis Majoris,06h 55m 37.40s,-20° 08′ 11.7″,4.66,95,/wiki/Pi_Canis_Majoris,Canis Major
1697,HD 56618,07h 16m 35.00s,-27° 52′ 52.6″,4.66,453,/wiki/HD_56618,Canis Major
1698,HD 47667,06h 39m 16.72s,-14° 08′ 44.7″,4.82,1575,/wiki/HD_47667,Canis Major
1699,15 Canis Majoris,06h 53m 32.91s,-20° 13′ 27.3″,4.82,1614,/wiki/15_Canis_Majoris,Canis Major
1700,145 G. Canis Majoris,07h 16m 36.84s,-23° 18′ 56.2″,4.83,6269,/wiki/145_G._Canis_Majoris,Canis Major
1701,UW Canis Majoris,07h 18m 40.38s,-24° 33′ 31.3″,4.88,2991,/wiki/UW_Canis_Majoris,Canis Major
1702,HD 57821,07h 22m 13.53s,-19° 00′ 59.7″,4.94,517,/wiki/HD_57821,Canis Major
1703,HD 43445 (page does not exist),06h 15m 44.88s,-13° 43′ 06.2″,5.0,375,/w/index.php?title=HD_43445&action=edit&redlink=1,Canis Major
1704,Mu Canis Majoris,06h 56m 06.65s,-14° 02′ 36.4″,5.0,908,/wiki/Mu_Canis_Majoris,Canis Major
1705,HD 43827 (page does not exist),06h 17m 41.73s,-16° 48′ 57.3″,5.15,567,/w/index.php?title=HD_43827&action=edit&redlink=1,Canis Major
1706,HD 46184 (page does not exist),06h 31m 23.02s,-12° 23′ 30.9″,5.16,343,/w/index.php?title=HD_46184&action=edit&redlink=1,Canis Major
1707,HD 58343 (page does not exist),07h 24m 40.19s,-16° 12′ 05.1″,5.18,945,/w/index.php?title=HD_58343&action=edit&redlink=1,Canis Major
1708,HD 44951 (page does not exist),06h 24m 10.35s,-11° 31′ 48.0″,5.21,420,/w/index.php?title=HD_44951&action=edit&redlink=1,Canis Major
1709,10 Canis Majoris,06h 44m 28.47s,-31° 04′ 13.9″,5.23,2608,/wiki/10_Canis_Majoris,Canis Major
1710,HD 47536,06h 37m 47.54s,-32° 20′ 23.6″,5.25,396,/wiki/HD_47536,Canis Major
1711,11 Canis Majoris,06h 46m 51.09s,-14° 25′ 33.6″,5.28,642,/wiki/11_Canis_Majoris,Canis Major
1712,HD 51283 (page does not exist),06h 55m 46.93s,-22° 56′ 29.2″,5.28,2159,/w/index.php?title=HD_51283&action=edit&redlink=1,Canis Major
1713,HD 57146 (page does not exist),07h 18m 51.28s,-26° 35′ 09.1″,5.29,1353,/w/index.php?title=HD_57146&action=edit&redlink=1,Canis Major
1714,HD 49048 (page does not exist),06h 45m 59.40s,-14° 47′ 45.9″,5.3,398,/w/index.php?title=HD_49048&action=edit&redlink=1,Canis Major
1715,HD 58535 (page does not exist),07h 24m 43.87s,-31° 48′ 32.1″,5.35,552,/w/index.php?title=HD_58535&action=edit&redlink=1,Canis Major
1716,HD 56342 (page does not exist),07h 15m 21.08s,-30° 41′ 11.3″,5.36,646,/w/index.php?title=HD_56342&action=edit&redlink=1,Canis Major
1717,HD 58215 (page does not exist),07h 23m 28.97s,-27° 50′ 03.4″,5.37,549,/w/index.php?title=HD_58215&action=edit&redlink=1,Canis Major
1718,HD 49662 (page does not exist),06h 48m 57.74s,-15° 08′ 41.0″,5.39,607,/w/index.php?title=HD_49662&action=edit&redlink=1,Canis Major
1719,NO Canis Majoris (page does not exist),07h 23m 00.70s,-31° 55′ 25.6″,5.4,1430,/w/index.php?title=NO_Canis_Majoris&action=edit&redlink=1,Canis Major
1720,FN Canis Majoris,07h 06m 40.77s,-11° 17′ 38.5″,5.41,2835,/wiki/FN_Canis_Majoris,Canis Major
1721,HD 58286 (page does not exist),07h 23m 31.90s,-32° 12′ 07.5″,5.41,1156,/w/index.php?title=HD_58286&action=edit&redlink=1,Canis Major
1722,HD 51733 (page does not exist),06h 57m 33.97s,-24° 37′ 51.8″,5.45,126,/w/index.php?title=HD_51733&action=edit&redlink=1,Canis Major
1723,HD 55070 (page does not exist),07h 10m 19.33s,-27° 29′ 29.5″,5.46,643,/w/index.php?title=HD_55070&action=edit&redlink=1,Canis Major
1724,HD 56405,07h 16m 14.58s,-15° 35′ 08.4″,5.46,277,/wiki/HD_56405,Canis Major
1725,FR Canis Majoris (page does not exist),06h 21m 24.72s,-11° 46′ 23.7″,5.48,1672,/w/index.php?title=FR_Canis_Majoris&action=edit&redlink=1,Canis Major
1726,HD 43955 (page does not exist),06h 18m 13.73s,-19° 58′ 01.2″,5.51,994,/w/index.php?title=HD_43955&action=edit&redlink=1,Canis Major
